Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GDP	GDP	DFU	DFU	DRP	DRP	DG	DG	SSW	SSW	WGnD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																												
214	Amberg	BY	136086	123936	3536	5386	120400	118550	30920	30686	0	0	77187	74849	7613	8093	3190	3359	893	955	400	417	197	191	0	0	0	0
215	Burglengenfeld	BY	105611	97870	2724	4988	95146	92882	24738	24466	0	0	63979	61345	2893	3336	2186	2257	977	1012	0	153	373	313	0	0	0	0
216	Cham	BY	93101	82138	2664	3910	79474	78228	14327	14367	0	0	58994	57225	2554	3056	2610	2604	517	523	472	403	0	50	0	0	0	0
217	Regensburg	BY	142589	126612	3034	6012	123578	120600	39496	37746	0	0	72040	69099	5995	7572	3842	3802	1227	1393	778	807	200	181	0	0	0	0
218	Tirschenreuth	BY	116504	108636	2706	4244	105930	104392	30500	30032	0	0	64727	63820	6190	6147	3522	3310	991	880	0	167	0	36	0	0	0	0
219	Bamberg	BY	123792	110933	2239	3568	108694	107365	28152	26807	0	0	68107	67630	6641	6959	3971	4035	1005	1050	818	849	0	35	0	0	0	0
220	Bayreuth	BY	129950	113951	2853	4298	111098	109653	47834	46722	0	0	46961	45367	9144	10302	5029	4903	1294	1384	836	906	0	69	0	0	0	0
221	Coburg	BY	142099	130069	2678	3724	127391	126345	52677	52525	0	0	52735	52874	15681	13944	5263	5407	1035	1089	0	469	0	37	0	0	0	0
222	Forchheim	BY	114285	102513	2394	4400	100119	98113	21898	20848	0	0	67772	65678	5009	5788	3952	4237	655	623	833	907	0	32	0	0	0	0
223	Hof	BY	130812	115173	2749	5163	112424	110010	49493	47934	0	0	48177	46087	9133	9687	3580	4159	1386	1468	440	454	215	221	0	0	0	0
224	Kulmbach	BY	117838	105163	1975	4224	103188	100939	40863	39293	0	0	50347	48544	6174	7266	4489	4436	725	765	590	611	0	24	0	0	0	0
225	Ansbach	BY	126602	111058	2584	4748	108474	106310	20919	18822	0	0	65728	64981	15631	16043	4446	4320	693	803	0	280	1057	1061	0	0	0	0
226	Erlangen	BY	151807	133961	2746	5365	131215	128596	40440	39961	0	0	67808	63078	14123	16338	5830	6077	1933	1882	1081	1122	0	138	0	0	0	0
227	Nürnberg	BY	239075	201246	2904	6373	198342	194873	81446	78700	0	0	78120	75804	27375	28608	2852	3112	6369	6473	1732	1761	448	415	0	0	0	0
228	Nürnberg – Fürth	BY	171418	141507	2465	5399	139042	136108	56867	55384	0	0	54316	52527	18987	19240	2460	2511	4788	4843	1196	1222	428	381	0	0	0	0
229	Schwabach	BY	149541	130813	3764	5090	127049	125723	46068	44790	0	0	58352	55848	16335	17864	3941	4032	2054	2115	0	857	299	217	0	0	0	0
230	Weißenburg	BY	133111	121644	2346	3961	119298	117683	20894	20934	0	0	87917	84128	7628	9100	2113	2378	746	739	0	355	0	49	0	0	0	0
231	Aschaffenburg	BY	175817	159109	4833	7141	154276	151968	49703	49340	0	0	84780	83349	10214	10120	6715	6703	1721	1852	510	526	0	78	0	0	633	0
232	Bad Kissingen	BY	120834	108882	3249	4190	105633	104692	20495	20620	0	0	68381	67347	12407	11550	4350	4370	0	541	0	238	0	26	0	0	0	0
233	Karlstadt	BY	114272	104343	2586	4332	101757	100011	21069	21125	0	0	69865	67060	6338	6846	3445	3803	717	808	323	338	0	31	0	0	0	0
234	Schweinfurt	BY	142401	128545	3125	5833	125420	122712	36604	35911	0	0	71160	68619	11256	11545	3707	3788	1961	2027	732	775	0	47	0	0	0	0
235	Würzburg	BY	175813	157298	3369	5721	153929	151577	45550	44812	0	0	85757	83397	12348	13271	6424	6263	3120	2972	730	752	0	110	0	0	0	0
236	Augsburg-Stadt	BY	150469	129444	1969	3969	127475	125475	52786	51994	0	0	56071	54022	11904	12641	3022	2930	3346	3306	0	325	346	257	0	0	0	0
237	Augsburg-Land	BY	142450	128696	3217	5261	125479	123435	36789	35011	0	0	73525	71826	8356	9290	5221	5494	1298	1436	0	226	290	152	0	0	0	0
238	Dillingen	BY	130952	116769	3552	5784	113217	110985	32472	32352	0	0	66321	63226	8299	8947	4092	4533	1024	1131	453	455	556	341	0	0	0	0
239	Donauwörth	BY	107947	95362	2890	5043	92472	90319	19462	18886	0	0	59912	57209	6311	7421	5828	5695	959	920	0	144	0	44	0	0	0	0
240	Kaufbeuren	BY	127685	112619	2201	4943	110418	107676	24843	24443	0	0	66820	64258	7734	8249	8570	8353	1580	1484	689	764	182	125	0	0	0	0
241	Kempten	BY	152832	133037	2892	5967	130145	127070	35541	34836	0	0	73015	69063	15380	16538	3131	3215	2165	2373	0	218	913	827	0	0	0	0
242	Memmingen	BY	114433	101432	2223	4568	99209	96864	22625	22236	0	0	60155	57328	8417	8911	5940	6143	1245	1344	678	745	149	157	0	0	0	0
909	Bayern	BY	6551728	5714545	136235	227583	5578310	5486962	1690099	1652642	0	0	3104742	3014471	450506	479830	214672	216160	83946	87388	24768	28699	7299	7772	0	0	633	1645
																												
243	Saarbrücken-Stadt	SL	144241	119050	5323	7982	113727	111068	38899	38071	43913	42438	0	0	25373	24866	448	454	4177	4221	917	941	0	77	0	0	0	0
244	Saarbrücken-Land	SL	144800	127315	6861	9212	120454	118103	41916	40912	57101	55636	0	0	16320	16315	451	444	3779	3797	887	904	0	95	0	0	0	0
245	Saarlouis – Merzig	SL	141629	126490	9155	10669	117335	115821	34185	33630	68322	67138	0	0	10722	10746	0	219	2937	2885	869	913	300	290	0	0	0	0
246	Ottweiler – St. Wendel	SL	142610	129512	7567	10273	121945	119239	38633	37640	67921	65946	0	0	9800	9931	289	279	4144	4162	1158	1202	0	79	0	0	0	0
247	Homburg – St. Ingbert	SL	141232	124450	6250	9072	118200	115378	44992	43750	54679	53097	0	0	13158	13035	356	342	3543	3618	1472	1444	0	92	0	0	0	0
910	Saarland	SL	714512	626817	35156	47208	591661	579609	198625	194003	291936	284255	0	0	75373	74893	1544	1738	18580	18683	5303	5404	300	633	0	0	0	0
																												
999	Bundesgebiet ohne Berlin	BUND	37440715	32849624	845158	1298723	32004466	31550901	11672057	11427355	11622995	11283901	3104742	3014471	3866269	4028766	859290	870756	587488	609918	242649	262977	21083	27308	24951	25449	778	2164
