Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
96	Steinfurt – Coesfeld	NW	166557	153312	3182	2637	150130	150675	39662	39423	101392	100755	0	0	5919	7536	742	745	768	727	416	254	1231	1146	0	20	0	69	0	0
97	Gelsenkirchen I	NW	129777	110950	4110	1872	106840	109078	60066	60751	39632	40095	0	0	4073	4804	541	570	2128	2339	114	95	0	114	286	282	0	28	0	0
98	Gelsenkirchen II	NW	132201	113320	3635	1863	109685	111457	63557	63927	39364	39498	0	0	4036	5026	536	572	1917	2075	131	99	0	83	144	139	0	38	0	0
99	Recklinghausen-Land	NW	158017	141909	3393	2062	138516	139847	65259	64740	65032	64988	0	0	5457	6763	1192	1318	1441	1591	135	82	0	233	0	74	0	58	0	0
100	Recklinghausen-Stadt	NW	153888	138022	3409	2520	134613	135502	68781	66809	57816	58783	0	0	5474	6877	1138	1263	1312	1501	92	80	0	88	0	58	0	43	0	0
101	Bottrop – Gladbeck	NW	134005	118976	3921	1697	115055	117279	60830	60974	47786	48395	0	0	2756	4020	396	459	3177	3133	110	87	0	42	0	126	0	43	0	0
102	Höxter	NW	130041	117547	5325	2611	112222	114936	24085	25142	78295	79793	0	0	7343	7747	846	923	399	387	288	199	966	690	0	24	0	31	0	0
103	Bielefeld-Land	NW	178309	160960	4076	3168	156884	157792	73807	73138	64518	62765	0	0	13809	16301	3405	3917	1099	1283	246	214	0	81	0	54	0	39	0	0
104	Bielefeld-Stadt	NW	127360	113596	3322	1789	110274	111807	54226	53629	43145	42255	0	0	8770	11074	2968	3258	1035	1354	130	118	0	38	0	63	0	18	0	0
105	Detmold – Lippe	NW	207159	184814	5142	3431	179672	181383	85005	84519	62744	63738	0	0	24552	25843	4199	4586	1479	1576	1693	881	0	61	0	113	0	66	0	0
106	Paderborn – Wiedenbrück	NW	158703	142908	2084	2529	140824	140379	32804	33198	99034	95210	0	0	6943	9085	1316	1403	727	715	0	75	0	588	0	47	0	58	0	0
107	Herford	NW	162628	145877	4225	3819	141652	142058	71774	71553	56200	54203	0	0	9713	11675	2789	3152	1176	1200	0	63	0	42	0	125	0	45	0	0
