Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
84	DUISBURG I	NW	213572	188750	2237	1628	186513	187122	110707	108699	59706	57208	0	0	12073	18193	0	100	0	0	733	572	3116	1968	85	56	21	16	0	273	72	37	0	0	0	0
85	DUISBURG II	NW	195392	168399	2180	1500	166219	166899	108573	107205	44634	43628	0	0	9888	13665	0	55	0	0	619	437	2324	1526	54	30	34	29	0	248	93	76	0	0	0	0
86	OBERHAUSEN	NW	173829	151699	2449	1246	149250	150453	89396	88842	48062	46633	0	0	9049	12781	0	73	0	0	504	365	2122	1475	0	18	37	22	0	201	80	43	0	0	0	0
87	MUELHEIM	NW	142206	126253	1132	766	125121	125487	70696	67886	41801	39226	0	0	9427	16192	0	77	0	0	442	333	2685	1498	70	49	0	10	0	200	0	16	0	0	0	0
88	ESSEN I	NW	167173	146252	1559	1137	144693	145115	85463	83157	46879	45200	0	0	9328	14453	0	110	0	0	663	511	2236	1442	52	37	34	23	0	154	0	28	0	0	38	0
89	ESSEN II	NW	145642	125718	1330	864	124388	124854	82858	80758	33578	32672	0	0	5785	9678	0	52	0	0	628	444	1456	990	55	44	28	14	0	168	0	34	0	0	0	0
90	ESSEN III	NW	195779	174204	1503	1101	172701	173103	84755	80524	69773	66328	0	0	14206	23195	0	160	0	0	668	465	3186	2176	63	48	50	31	0	143	0	33	0	0	0	0
91	RECKLINGHAUSEN I	NW	174799	156020	1648	1183	154372	154837	88773	86654	53355	52368	0	0	8823	13329	0	75	0	0	556	326	2865	1762	0	23	0	31	0	229	0	40	0	0	0	0
92	RECKLINGHAUSEN II	NW	186061	167249	1449	1090	165800	166159	90268	87367	62405	61650	0	0	8718	14093	0	106	0	0	564	316	3845	2350	0	23	0	17	0	189	0	48	0	0	0	0
93	GELSENKIRCHEN I	NW	143600	125292	1885	1261	123407	124031	76773	77249	37141	36102	0	0	6355	8486	0	58	0	0	866	594	2182	1240	0	17	0	11	0	224	90	50	0	0	0	0
