Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
114	Dortmund I	NW	171901	159420	1711	893	157709	158527	94991	89851	53224	53190	0	0	7939	14159	926	718	139	94	0	34	490	481	0
115	Dortmund II	NW	142230	128930	1837	814	127093	128116	88211	86891	33630	33877	0	0	4002	6232	848	640	0	37	0	34	402	405	0
116	Dortmund III	NW	160715	145423	1821	968	143602	144455	92997	90079	43619	43872	0	0	5554	9248	909	712	0	52	0	32	523	460	0
117	Bochum	NW	159186	146810	1351	815	145459	145995	93148	88334	45382	45821	0	0	5544	10554	884	668	0	71	0	64	501	483	0
118	Bochum – Witten	NW	167269	154723	1681	877	153042	153846	102157	98614	43531	43705	0	0	5985	10214	821	650	0	61	0	34	548	568	0
119	Iserlohn	NW	185272	169695	1927	1014	167768	168681	89868	85870	70103	68774	0	0	6449	12611	505	460	0	59	130	78	713	829	0
120	Lippstadt – Brilon	NW	124404	115372	1105	817	114267	114555	45546	44980	63750	62874	0	0	4331	6067	282	188	0	59	0	27	358	360	0
121	Olpe – Meschede	NW	128482	120316	1534	745	118782	119571	40382	39297	74965	74692	0	0	3054	5031	381	234	0	47	0	24	0	246	0
122	Arnsberg – Soest	NW	183304	168811	1490	1081	167321	167730	70957	70618	85923	84771	0	0	9444	11248	433	329	0	64	0	27	564	673	0
123	Unna	NW	163250	152235	1555	1071	150680	151164	96640	92888	46809	47167	0	0	5803	9718	707	566	0	55	0	23	721	747	0
124	Lüdenscheid	NW	168619	153244	1859	966	151385	152278	83068	79749	57653	56982	0	0	9466	14270	572	392	0	71	0	49	626	765	0
125	Siegen – Wittgenstein	NW	198400	180766	1545	1178	179221	179588	96731	88098	70404	70132	0	0	10629	19759	710	558	0	81	0	35	747	925	0
905	Nordrhein-Westfalen	NW	11992806	11005807	128101	71169	10877706	10934638	5743844	5509886	4517830	4484657	0	0	530974	856963	49611	37600	1750	5218	510	2686	33187	37628	0
																									
126	Waldeck	HE	139838	127906	1529	861	126377	127045	67743	64347	49833	50039	0	0	7598	11428	420	356	0	73	0	0	783	802	0
127	Kassel	HE	185517	169217	1312	1093	167905	168124	100903	93249	55045	54926	0	0	10883	18495	1074	746	0	153	0	0	0	555	0
128	Eschwege	HE	140024	131203	1292	730	129911	130473	83221	78984	39938	40837	0	0	6117	9665	635	463	0	110	0	0	0	414	0
129	Fritzlar-Homberg	HE	136070	124923	1174	927	123749	123996	66823	63867	47892	48398	0	0	8163	10664	373	336	0	81	0	0	498	650	0
130	Hersfeld	HE	158917	147342	2725	1065	144617	146277	79861	75341	58312	59301	0	0	5326	10448	503	374	0	98	0	0	615	715	0
131	Marburg	HE	152804	139108	1703	909	137405	138199	73317	65909	57635	57776	0	0	4889	12852	932	740	0	108	0	0	632	814	0
132	Wetzlar	HE	181355	164179	1327	1102	162852	163077	89517	81929	61574	61034	0	0	10184	18390	666	565	0	136	0	0	911	1023	0
133	Gießen	HE	172628	158158	1988	1192	156170	156966	83183	76723	63194	63234	0	0	8024	15308	762	591	0	136	0	0	1007	974	0
134	Fulda	HE	175979	162175	1478	1510	160697	160665	63320	59658	89849	89252	0	0	6295	10516	482	341	0	90	0	0	751	808	0
135	Obertaunuskreis	HE	221349	204539	2040	1086	202499	203453	96610	85163	92023	90052	0	0	12272	26255	606	593	0	188	0	0	988	1202	0
136	Friedberg	HE	191382	176170	1379	1138	174791	175032	94110	86630	70671	70532	0	0	8114	15940	757	593	0	145	0	0	1139	1192	0
137	Limburg	HE	163531	150231	1921	1122	148310	149109	66333	61764	75070	74457	0	0	5806	11686	386	288	0	117	0	0	715	797	0
138	Wiesbaden	HE	185496	165077	2173	1066	162904	164011	85384	76611	65878	65445	0	0	9977	20201	699	603	0	159	0	0	966	992	0
139	Hanau	HE	205780	189774	1224	1061	188550	188713	101870	92641	75484	75262	0	0	8917	18453	1237	1056	0	217	0	0	1042	1084	0
140	Frankfurt I	HE	149869	134748	1390	825	133358	133923	73127	64451	51205	51568	0	0	7334	16301	834	555	0	150	0	0	858	898	0
