Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CDU	CSU	FDP	FDP	GRÜNE	GRÜNE	ASD	ASD	B P	B P	C.B.V.	C.B.V.	ZENTRUM	ZENTRUM	MUENDIGE	MUENDIGE	FRAUEN	FRAUEN	FAP	FAP	MLPD	MLPD	NPD	NPD	OE D P	OE D P	PATRIOTEN	PATRIOTEN	FAMILIE	SOLIDARITAET	F S U	H P	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																														
45	BRAUNSCHWEIG	NI	201901	168874	1407	978	167467	167896	72723	70300	73501	67858	0	0	5934	14310	11251	14232	0	0	0	0	0	0	236	0	0	142	0	0	0	0	0	50	680	688	0	199	170	117	0	0	0	0	0	2972
46	HELMSTEDT – WOLFSBURG	NI	173807	147949	1413	1204	146536	146745	62146	62058	69947	66359	0	0	5185	9023	7325	7689	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	29	1356	1177	0	161	154	109	0	0	0	0	0	423
47	GOSLAR	NI	151120	127813	1160	949	126653	126864	55883	54680	58198	55068	0	0	5891	9657	5654	6473	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	22	736	688	0	125	0	58	0	0	0	0	0	291
48	NORTHEIM – OSTERODE	NI	169813	147754	1491	1122	146263	146632	71906	69590	62219	57479	0	0	4764	10698	6571	7934	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	30	584	554	0	202	0	67	0	0	0	0	0	219
49	GOETTINGEN	NI	190898	164733	1226	966	163507	163767	68319	64447	73441	64147	0	0	5619	14585	13832	19361	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	31	705	689	0	301	0	56	0	754	0	0	0	837
903	NIEDERSACHSEN	NI	5628104	4782941	44850	34796	4738091	4748145	2056431	1967443	2125996	1969967	0	0	208522	419882	299636	353721	592	0	0	0	0	0	236	0	0	3591	0	0	185	0	0	1174	21605	21984	905	7507	2772	2876	0	754	0	130	0	20327
																																														
50	BREMEN-OST	HB	202562	171731	1534	1308	170197	170423	76057	69367	59485	52539	0	0	9242	19056	21680	27589	611	515	0	0	0	0	0	0	0	105	0	289	0	149	0	44	768	719	0	0	66	51	0	0	0	0	0	2288
51	BREMEN-WEST	HB	141280	115316	1149	997	114167	114319	63587	59085	30822	29283	0	0	4119	7961	12359	16411	516	451	0	0	0	0	0	0	0	72	0	218	0	130	0	65	670	607	0	0	52	36	0	0	0	0	0	2042
52	BREMERHAVEN – BREMEN-NORD	HB	177804	144588	1377	1147	143211	143441	72147	70468	45293	41923	0	0	6307	10708	16127	18130	1083	868	0	0	0	0	0	0	0	82	0	264	0	126	0	28	855	774	0	0	67	70	0	0	0	0	0	1332
