Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	CSU	CSU	SPD	SPD	FDP	FDP	GRÜNE	GRÜNE	PDS	PDS	DSU	DSU	B90/Gr	B90/Gr	BP	BP	DDD	DDD	BSA	BSA	LIGA	LIGA	CM	CM	ÖKO-Union	ÖKO-Union	DIE GRAUEN	DIE GRAUEN	Mündige	Mündige	REP	REP	Frauen	Frauen	KPD	KPD	NPD	NPD	ÖDP	ÖDP	Patrioten	Patrioten	SpAD	SpAD	VAA	VAA	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																																										
293	Merseburg – Querfurt – Weißenfels	ST	163979	118623	2543	1914	116080	116709	47803	46472	0	0	26557	26831	22934	25032	0	0	10415	10003	1198	628	7173	5513	0	0	0	0	0	0	0	0	0	0	0	0	0	711	0	0	0	1118	0	0	0	0	0	178	0	174	0	0	0	49	0	0	0	0
294	Zeitz – Hohenmölsen – Naumburg – Nebra	ST	143920	108780	2315	1854	106465	106926	48437	46206	0	0	23207	22524	19467	22707	0	0	8831	8482	1231	631	5292	4203	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	1273	0	0	0	0	0	192	0	147	0	0	0	40	0	0	0	0
295	Eisleben – Sangerhausen – Hettstedt	ST	154715	113615	2419	2002	111196	111613	48892	48643	0	0	25021	25613	20454	21434	0	0	10474	9242	1216	543	5139	4196	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0	1021	0	0	0	0	0	133	0	168	0	0	0	46	0	0	0	0
914	Sachsen-Anhalt	ST	2237790	1615723	29974	24337	1585749	1591386	624431	613515	0	0	399221	393396	279316	314265	0	0	158333	149053	15053	7138	105157	83976	0	0	0	0	0	0	0	0	0	0	0	0	3303	9431	0	0	0	15197	0	0	0	0	0	2704	0	2179	0	0	0	532	0	0	0	935
																																																										
296	Nordhausen – Worbis – Heiligenstadt	TH	165431	132749	2077	1508	130672	131241	73907	73256	0	0	25361	24898	13879	16476	0	0	8960	7465	1475	785	7090	6066	0	0	0	0	0	0	0	198	0	0	0	0	0	614	0	0	0	1014	0	0	0	0	0	201	0	237	0	31	0	0	0	0	0	0
297	Eisenach – Mühlhausen	TH	153760	118215	3073	1654	115142	116561	58249	55112	0	0	31453	28046	16283	16417	0	0	8235	7238	0	733	0	6283	0	0	0	0	0	0	0	184	0	0	0	0	0	772	0	0	0	1182	0	0	0	0	922	344	0	214	0	36	0	0	0	0	0	0
298	Sömmerda – Artern – Sondershausen – Langensalza	TH	164023	123376	2590	1968	120786	121408	57850	57946	0	0	28783	28571	16517	17327	0	0	8184	8482	1165	818	7976	5879	0	0	0	0	0	0	0	136	0	0	0	0	0	633	0	0	0	1216	0	0	0	0	0	202	0	163	0	35	0	0	0	0	0	311
299	Gotha – Arnstadt	TH	156557	118319	2065	1563	116254	116756	54325	52641	0	0	29190	28007	12227	17468	0	0	7640	7311	2244	1435	9998	6957	0	0	0	0	0	0	0	220	0	0	0	0	0	738	0	0	0	1393	0	0	0	0	630	325	0	233	0	28	0	0	0	0	0	0
300	Erfurt	TH	161066	113490	1447	1128	112043	112362	40043	40395	0	0	25875	26515	12330	16163	0	0	14539	14856	1183	838	15750	10717	0	0	0	0	0	0	0	139	0	0	0	0	1649	1240	0	0	0	847	0	0	0	0	674	366	0	265	0	21	0	0	0	0	0	0
301	Weimar – Apolda – Erfurt-Land	TH	149677	113970	1981	1533	111989	112437	51176	50996	0	0	23032	22756	17703	19379	0	0	7365	7396	1213	852	9379	8237	0	0	0	0	0	0	0	152	0	0	0	0	1305	984	0	0	0	1000	0	0	0	0	816	441	0	213	0	31	0	0	0	0	0	0
302	Jena – Rudolstadt – Stadtroda	TH	178553	138104	1970	1591	136134	136513	56782	54527	0	0	27705	30473	20582	22951	0	0	13600	12267	2561	1803	12736	11190	0	0	0	0	0	0	0	187	0	0	0	0	1377	1074	0	0	0	1351	0	0	0	0	791	444	0	225	0	21	0	0	0	0	0	0
303	Gera-Stadt – Eisenberg – Gera-Land I	TH	153106	112925	1898	1539	111027	111386	46457	45616	0	0	23608	25493	12645	15880	0	0	15139	13264	2615	1706	7980	6419	0	0	0	0	0	0	0	167	0	0	0	0	1758	1162	0	0	0	1047	0	0	0	0	825	419	0	189	0	24	0	0	0	0	0	0
304	Altenburg – Schmölln – Greiz – Gera-Land II	TH	158335	120083	2179	1622	117904	118461	56227	55996	0	0	25921	25940	16476	17551	0	0	9680	9105	2202	1597	6577	5287	0	0	0	0	0	0	0	274	0	0	0	0	0	708	0	0	0	1310	0	0	0	0	821	480	0	184	0	29	0	0	0	0	0	0
305	Saalfeld – Pößneck – Schleiz – Lobenstein – Zeulenroda	TH	157865	125000	2468	1568	122532	123432	57087	57142	0	0	29342	26380	19415	17853	0	0	10077	9241	5859	2801	0	6321	0	0	0	0	0	0	0	248	0	0	0	0	0	840	0	0	0	2021	0	0	0	0	752	308	0	254	0	23	0	0	0	0	0	0
306	Meiningen – Bad Salzungen – Hildburghausen – Sonneberg	TH	206402	161355	2642	2336	158713	159019	74071	74129	0	0	34544	33690	18106	21741	0	0	13580	13306	4686	2687	10759	8861	0	0	0	0	0	0	0	184	0	0	0	0	0	920	0	0	2967	3045	0	0	0	0	0	188	0	237	0	31	0	0	0	0	0	0
307	Suhl – Schmalkalden – Ilmenau – Neuhaus	TH	204936	157068	3080	2372	153988	154696	65576	66987	0	0	30515	31608	19746	22415	0	0	16004	15223	6912	3968	14589	10350	0	0	0	0	0	0	0	233	0	0	0	0	0	856	0	0	0	2543	0	0	0	0	646	255	0	237	0	21	0	0	0	0	0	0
915	Thüringen	TH	2009711	1534654	27470	20382	1507184	1514272	691750	684743	0	0	335329	332377	195909	221621	0	0	133003	125154	32115	20023	102834	92567	0	0	0	0	0	0	0	2322	0	0	0	0	6089	10541	0	0	2967	17969	0	0	0	0	6877	3973	0	2651	0	331	0	0	0	0	0	311
																																																										
308	Delitzsch – Eilenburg – Torgau – Wurzen	SN	156693	117613	2282	1841	115331	115772	55561	54889	0	0	26380	26639	11847	13840	0	0	10578	9768	2761	1484	8204	5861	0	0	0	0	0	27	0	144	0	0	0	0	0	749	0	0	0	1669	0	0	0	48	0	329	0	195	0	6	0	19	0	105	0	0
309	Leipzig I	SN	205082	146006	2183	1649	143823	144357	56277	54238	0	0	34229	34084	17883	21176	0	0	17144	17001	0	1266	17033	12935	0	0	0	0	0	31	0	143	0	0	0	0	0	1481	0	0	0	1038	0	0	0	60	946	481	0	223	0	15	0	43	311	142	0	0
310	Leipzig II	SN	203228	145501	2008	1556	143493	143945	52860	52816	0	0	35257	33865	16012	21646	0	0	17625	17196	2631	1501	16447	13427	0	0	0	0	0	28	0	175	0	0	0	0	0	1449	0	0	0	997	0	0	0	67	619	439	0	225	0	8	0	17	0	89	0	2042
311	Leipzig-Land – Borna – Geithain	SN	194128	147920	5104	2279	142816	145641	73827	71051	0	0	37754	32267	13902	18606	0	0	0	10277	3626	2219	12859	7672	0	0	0	0	0	42	0	215	0	0	0	0	0	920	0	0	0	1527	0	0	0	52	848	480	0	180	0	13	0	25	0	95	0	0
