Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
128	Eschwege	HE	128732	117327	2672	2011	114655	115316	69680	67485	34332	34834	0	0	5851	6426	3965	4679	827	804	0	0	0	116	972	0	0	0	0	0	0	0
129	Fritzlar-Homberg	HE	125781	111497	2334	2200	109163	109297	53386	52889	37216	39161	0	0	12186	8385	5958	7353	417	445	0	0	0	121	943	0	0	0	0	0	0	0
130	Hersfeld	HE	148009	133135	2599	3281	130536	129854	67234	64336	52227	51003	0	0	5352	6800	5097	6421	626	585	0	0	0	166	543	0	0	0	0	0	0	0
131	Marburg	HE	140546	122757	3805	1838	118952	120919	58494	54732	48551	49257	0	0	6106	8166	5170	7369	631	609	0	0	0	157	629	0	0	0	0	0	0	0
132	Wetzlar	HE	169536	147172	2906	2726	144266	144446	71943	70009	55417	54036	0	0	9706	9874	6392	7736	808	717	0	0	0	197	1877	0	0	0	0	0	0	0
133	Gießen	HE	160041	141424	4313	2605	137111	138819	68324	65029	51537	50450	0	0	7880	10358	8400	10158	970	891	0	0	0	188	1745	0	0	0	0	0	0	0
134	Fulda	HE	160955	144920	3355	3669	141565	141251	48901	47893	80083	78102	0	0	6968	7130	5120	5994	493	435	0	0	0	113	1584	0	0	0	0	0	0	0
135	Obertaunuskreis	HE	195133	173468	4337	2067	169131	171401	79410	77394	76132	69882	0	0	7687	13763	5350	7869	552	779	0	0	0	476	1238	0	0	0	0	0	0	0
136	Friedberg	HE	177511	159392	5003	2678	154389	156714	79186	77129	57361	57629	0	0	7286	9168	9732	10908	824	745	0	0	0	307	828	0	0	0	0	0	0	0
137	Limburg	HE	147736	131940	4136	2382	127804	129558	53102	51415	64089	63903	0	0	5497	6688	4685	5913	431	415	0	0	0	227	997	0	0	0	0	0	0	0
138	Wiesbaden	HE	181557	153070	3197	2827	149873	150243	75641	71612	56864	56034	0	0	9564	12376	6561	7842	1107	1086	0	0	0	443	850	0	0	0	136	0	0	0
139	Hanau	HE	182137	162678	2237	3109	160441	159569	82750	78083	60980	60598	0	0	7246	9688	7202	7840	2263	2242	0	0	0	303	815	0	0	0	0	0	0	0
140	Frankfurt I	HE	150345	126320	2610	1684	123710	124636	68396	62130	43045	45068	0	0	5443	9440	5327	6336	1119	1014	0	0	380	409	239	0	0	0	0	0	0	0
141	Frankfurt II	HE	170111	141671	2624	1559	139047	140112	72409	68772	47783	48396	0	0	10481	13478	6275	7276	1337	1298	0	0	762	647	245	0	0	0	0	0	0	0
