Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	AUD	AUD	AVP	AVP	C.B.V.	C.B.V.	DKP	DKP	EAP	EAP	5%-BLOCK	5%-BLOCK	GIM	GIM	KPD	KPD	K B W	K B W	NPD	NPD	RFP	UAP	UAP	VL	VL	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																										
77	NEUSS – GREVENBROICH I	NW	212770	194069	1103	906	192966	193163	78797	74963	99241	99008	0	0	13522	17868	0	121	0	18	0	0	712	512	0	23	0	0	0	21	0	85	184	85	510	440	0	0	9	0	10	0
78	RHEYDT – GREVENBROICH II	NW	139468	124475	1230	741	123245	123734	53033	52696	61041	61201	0	0	8440	9104	0	59	0	8	0	0	420	310	0	13	0	0	0	13	0	31	0	24	311	262	0	0	8	0	5	0
79	MOENCHENGLADBACH	NW	164380	145326	1491	870	143835	144456	55616	55558	78110	78110	0	0	8961	9836	0	61	0	17	0	0	635	391	0	18	0	0	0	14	0	59	137	69	376	308	0	0	10	0	5	0
80	KREFELD	NW	159783	141836	1140	826	140696	141010	61743	63539	67391	63371	0	0	10389	12985	0	83	0	18	0	0	561	443	0	9	0	0	0	30	0	56	198	109	414	347	0	0	11	0	9	0
81	KEMPEN – KREFELD	NW	126811	115521	910	688	114611	114833	45007	43576	61818	61741	0	0	6960	8845	136	79	0	8	0	0	351	219	0	14	0	0	0	11	0	34	0	30	339	263	0	0	6	0	7	0
82	MOERS	NW	208413	190740	1013	819	189727	189921	117146	114804	59348	60040	0	0	11511	13613	274	134	0	23	0	0	822	611	79	48	0	0	0	24	0	73	0	46	547	483	0	0	6	0	16	0
83	KLEVE	NW	177017	163971	1239	1139	162732	162832	55942	55252	98186	97704	0	0	7884	9162	0	80	0	19	0	0	403	244	0	20	0	0	0	19	0	32	0	26	317	255	0	0	4	0	15	0
84	DINSLAKEN	NW	190480	174361	1069	916	173292	173445	96767	92593	65451	65868	0	0	9973	13918	0	65	0	20	0	0	755	514	0	23	0	0	0	24	0	68	0	51	346	285	0	0	9	0	7	0
85	OBERHAUSEN	NW	173586	157823	996	813	156827	157010	92245	91590	55131	54563	0	0	8065	9713	0	37	0	13	0	0	1024	630	0	13	0	0	0	18	0	60	0	53	362	301	0	0	10	0	9	0
86	MUELHEIM	NW	141485	130027	720	525	129307	129502	75011	72022	45099	44503	0	0	7931	11971	0	55	113	45	0	0	814	578	0	8	0	0	0	13	0	59	0	29	227	181	0	0	5	112	33	0
